station,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,date,musim
Wanliu,8.0,14.291666666666666,11.93235335710903,33.802449552739695,434.1397296904447,46.453067245451145,1.3916666666666666,1026.875,-18.745833333333334,0.0,3.2541666666666664,2013-03-01,dingin
Wanshouxigong,8.041666666666666,10.75,7.839525129621554,19.81373167237443,369.5997929438011,57.176245980697935,2.0625,1025.9041666666667,-19.708333333333332,0.0,2.6083333333333334,2013-03-01,dingin
Aotizhongxin,30.75,42.083333333333336,36.625,66.66666666666667,824.9166666666666,29.75,0.6166666666666667,1026.8500000000001,-15.9375,0.0,1.4791666666666667,2013-03-02,dingin
Changping,33.333333333333336,39.833333333333336,40.58162106613234,60.090920229477376,977.1792226892844,29.872500109063647,-0.3958333333333333,1023.7291666666666,-16.116666666666667,0.0,0.9291666666666667,2013-03-02,dingin
Dingling,34.041666666666664,41.708333333333336,25.083333333333332,56.375,875.0,24.708333333333332,-0.3958333333333333,1023.7291666666666,-16.116666666666667,0.0,0.9291666666666667,2013-03-02,dingin
Dongsi,30.5,40.583333333333336,28.291666666666668,58.5,966.5833333333334,37.791666666666664,0.49166666666666664,1028.8500000000001,-16.962500000000002,0.0,0.7916666666666666,2013-03-02,dingin
Guanyuan,26.375,34.875,28.232955895730942,63.37090177154483,877.887265718031,35.166666666666664,0.6166666666666667,1026.8500000000001,-15.9375,0.0,1.4791666666666667,2013-03-02,dingin
Gucheng,36.916666666666664,51.375,37.291666666666664,38.32796145639512,1479.0416666666667,39.583333333333336,0.8208333333333333,1024.8999999999999,-16.337500000000002,0.0,1.0875000000000001,2013-03-02,dingin
Huairou,32.708333333333336,41.375,40.0112,49.8534875,775.8981060380873,35.00501666666667,-0.9916666666666667,1023.6875,-16.241666666666667,0.0,1.575,2013-03-02,dingin
Nongzhanguan,28.75,37.708333333333336,33.32038508386774,64.46238218280868,1000.9312582452203,40.166666666666664,0.49166666666666664,1028.8500000000001,-16.962500000000002,0.0,0.7916666666666666,2013-03-02,dingin
Shunyi,32.625,40.65570942944335,20.208333333333332,47.583333333333336,920.8333333333334,40.416666666666664,0.08333333333333333,1029.4666666666667,-16.275000000000002,0.0,1.3458333333333332,2013-03-02,dingin
Tiantan,31.708333333333332,37.041666666666664,26.640317296097724,50.59011023225039,949.9293049089516,34.041666666666664,0.49166666666666664,1028.8500000000001,-16.962500000000002,0.0,0.7916666666666666,2013-03-02,dingin
Wanliu,29.083333333333332,41.625,34.25,73.70833333333333,908.3333333333334,17.666666666666668,0.6166666666666667,1026.8500000000001,-15.9375,0.0,1.4791666666666667,2013-03-02,dingin
Wanshouxigong,30.916666666666668,40.958333333333336,30.958333333333332,50.333333333333336,879.1666666666666,27.833333333333332,0.6791666666666667,1026.0208333333333,-15.475,0.0,1.0625,2013-03-02,dingin
Aotizhongxin,76.91666666666667,120.54166666666667,61.291666666666664,81.0,1620.625,19.125,5.566666666666666,1014.6083333333332,-12.316666666666668,0.0,1.6583333333333332,2013-03-03,dingin
Changping,57.541666666666664,82.66666666666667,37.875,58.791666666666664,1254.0,31.333333333333332,5.329166666666667,1011.3125,-12.995833333333332,0.0,1.3625,2013-03-03,dingin
Dingling,43.833333333333336,65.33333333333333,19.447902068891867,42.72257779239334,808.537336368954,41.0,5.329166666666667,1011.3125,-12.995833333333332,0.0,1.3625,2013-03-03,dingin
Dongsi,98.33333333333333,131.58333333333334,58.291666666666664,93.45833333333333,2132.875,20.333333333333332,4.9875,1016.4583333333334,-12.3125,0.0,1.2249999999999999,2013-03-03,dingin
Guanyuan,81.5,119.08333333333333,69.20833333333333,96.45833333333333,1966.4583333333333,16.5,5.566666666666666,1014.6083333333332,-12.316666666666668,0.0,1.6583333333333332,2013-03-03,dingin
Gucheng,80.33333333333333,120.04166666666667,47.541666666666664,62.40055103585203,2349.7083333333335,33.708333333333336,6.5625,1012.5666666666666,-11.991666666666667,0.0,1.4000000000000001,2013-03-03,dingin
Huairou,57.625,80.75,38.291666666666664,47.395718758912984,945.8333333333334,27.833333333333332,3.9125,1011.3874999999999,-12.475,0.0,1.7708333333333333,2013-03-03,dingin
Nongzhanguan,104.75,135.5,63.708333333333336,105.66666666666667,2308.0,18.583333333333332,4.9875,1016.4583333333334,-12.3125,0.0,1.2249999999999999,2013-03-03,dingin
Shunyi,76.5,95.20833333333333,30.875,65.29166666666667,1749.9166666666667,24.541666666666668,5.029166666666667,1017.0375,-11.779166666666667,0.0,1.625,2013-03-03,dingin
Tiantan,98.04166666666667,121.33333333333333,55.625,82.95833333333333,2028.9583333333333,16.916666666666668,4.9875,1016.4583333333334,-12.3125,0.0,1.2249999999999999,2013-03-03,dingin
Wanliu,80.125,130.75,50.208333333333336,86.95833333333333,2074.5833333333335,12.083333333333334,5.566666666666666,1014.6083333333332,-12.316666666666668,0.0,1.6583333333333332,2013-03-03,dingin
Wanshouxigong,96.0,130.45833333333334,58.708333333333336,88.41666666666667,2004.0,11.5,5.2625,1013.7666666666668,-11.779166666666667,0.0,1.3875,2013-03-03,dingin
Aotizhongxin,22.708333333333332,44.583333333333336,22.640662558723275,47.471076382768814,644.2893810582392,53.75,9.9625,1017.65,-11.683333333333332,0.0,2.404166666666667,2013-03-04,dingin
Changping,20.791666666666668,36.166666666666664,22.375,30.25,583.3333333333334,66.45833333333333,9.237499999999999,1014.4041666666667,-13.466666666666667,0.0,2.3833333333333333,2013-03-04,dingin
Dingling,17.541666666666668,31.197488471673253,9.166666666666666,19.27136668859001,400.0,76.91666666666667,9.237499999999999,1014.4041666666667,-13.466666666666667,0.0,2.3833333333333333,2013-03-04,dingin
Dongsi,24.291666666666668,40.875,16.5118,47.671641666666666,888.7528804615014,62.291666666666664,10.5625,1019.4541666666668,-14.0,0.0,2.504166666666667,2013-03-04,dingin
Guanyuan,18.25,41.958333333333336,20.208333333333332,51.333333333333336,625.0,54.5,9.9625,1017.65,-11.683333333333332,0.0,2.4041666666666663,2013-03-04,dingin
Gucheng,26.5,51.291666666666664,18.666666666666668,44.268870810074816,1170.6666666666667,67.25,9.795833333333333,1015.6083333333332,-11.945833333333333,0.0,1.5416666666666667,2013-03-04,dingin
Huairou,29.630493096068715,45.875,25.708333333333332,35.125,524.9583333333334,55.916666666666664,7.108333333333333,1014.4875000000001,-13.1,0.0,1.8875,2013-03-04,dingin
Nongzhanguan,22.875,35.083333333333336,14.666666666666666,49.541666666666664,674.9583333333334,62.458333333333336,10.5625,1019.4541666666668,-14.0,0.0,2.504166666666667,2013-03-04,dingin
Shunyi,19.833333333333332,35.78070942944335,13.083333333333334,43.291666666666664,791.5833333333334,55.125,8.9375,1020.1166666666667,-12.4375,0.0,2.091666666666667,2013-03-04,dingin
Tiantan,22.333333333333332,37.583333333333336,16.583333333333332,42.041666666666664,895.7916666666666,53.125,10.5625,1019.4541666666668,-14.0,0.0,2.504166666666667,2013-03-04,dingin
Wanliu,22.875,52.375,27.083333333333332,66.83333333333333,829.0833333333334,31.75,9.9625,1017.65,-11.683333333333332,0.0,2.4041666666666663,2013-03-04,dingin
Wanshouxigong,23.125,38.666666666666664,18.916666666666668,43.666666666666664,754.0416666666666,42.458333333333336,9.4375,1016.8249999999999,-11.8125,0.0,1.7125000000000001,2013-03-04,dingin
Aotizhongxin,148.875,183.79166666666666,93.875,132.83333333333334,2357.9583333333335,68.45833333333333,6.291666666666667,1010.9,-7.5249999999999995,0.0,1.1291666666666667,2013-03-05,dingin
Changping,106.95833333333333,125.16666666666667,50.708333333333336,75.29166666666667,1641.3333333333333,88.75,6.4624999999999995,1007.7958333333332,-9.0,0.0,0.7666666666666666,2013-03-05,dingin
Dingling,105.375,117.20833333333333,36.375,58.375,1187.375,86.5,6.4624999999999995,1007.7958333333332,-9.0,0.0,0.7666666666666666,2013-03-05,dingin
Dongsi,154.25,183.16666666666666,79.35546277530692,136.44581011677076,2401.0445471281682,83.04166666666667,7.2124999999999995,1012.7041666666668,-7.783333333333334,0.0,0.9125,2013-03-05,dingin
Guanyuan,141.16666666666666,163.70833333333334,83.375,134.75,2483.0833333333335,78.79166666666667,6.291666666666667,1010.9,-7.5249999999999995,0.0,1.1291666666666667,2013-03-05,dingin
Gucheng,136.70833333333334,172.54166666666666,72.64025673428442,63.216460389531726,1376.7478685797462,84.375,6.75,1008.8833333333333,-7.741666666666667,0.0,0.8416666666666667,2013-03-05,dingin
Huairou,80.27700985996697,121.33333333333333,50.33839804209209,66.97905209224632,1318.4212120761747,87.95833333333333,5.683333333333334,1007.9208333333332,-8.645833333333334,0.0,1.325,2013-03-05,dingin
Nongzhanguan,131.83333333333334,173.08333333333334,89.20833333333333,137.20833333333334,2578.875,77.58333333333333,7.2124999999999995,1012.7041666666668,-7.783333333333334,0.0,0.9125,2013-03-05,dingin
Shunyi,114.95833333333333,145.83333333333334,56.94050161197978,86.03786936407609,1824.2526657746964,74.54166666666667,6.45,1013.4875000000001,-7.220833333333334,0.0,1.1958333333333333,2013-03-05,dingin
Tiantan,141.66666666666666,156.375,74.33333333333333,101.66666666666667,2408.0,94.0,7.2124999999999995,1012.7041666666668,-7.783333333333334,0.0,0.9125,2013-03-05,dingin
Wanliu,134.04166666666666,196.95833333333334,78.14068669044237,118.6774495527397,2479.6397296904447,48.541666666666664,6.291666666666667,1010.9,-7.5249999999999995,0.0,1.1291666666666667,2013-03-05,dingin
Wanshouxigong,148.66666666666666,171.66666666666666,76.83952512962155,100.10539833904109,2240.141459610468,81.79166666666667,7.245833333333334,1009.9208333333332,-7.4624999999999995,0.0,0.8833333333333333,2013-03-05,dingin
Aotizhongxin,223.25,265.1666666666667,116.2367,142.05938333333333,3031.4560477249056,19.75,7.183333333333334,1007.4833333333332,-4.216666666666667,0.0,1.4833333333333334,2013-03-06,dingin
Changping,235.29166666666666,257.4583333333333,95.748287732799,118.50758689614405,3085.1375560226174,68.20833333333333,7.345833333333334,1004.3458333333333,-4.766666666666667,0.0,1.0416666666666667,2013-03-06,dingin
Dingling,220.79166666666666,225.0,71.25,96.33333333333333,2166.5,73.125,7.345833333333334,1004.3458333333333,-4.766666666666667,0.0,1.0416666666666667,2013-03-06,dingin
Dongsi,206.83333333333334,231.91666666666666,102.41666666666667,161.5,2991.3333333333335,28.0,8.0,1009.2958333333332,-5.379166666666666,0.0,0.775,2013-03-06,dingin
Guanyuan,205.58333333333334,229.75,122.94128922906428,150.82923510487817,3294.262265718031,28.416666666666668,7.183333333333334,1007.4833333333332,-4.216666666666667,0.0,1.4833333333333334,2013-03-06,dingin
Gucheng,190.91666666666666,256.2916666666667,114.08333333333333,118.5712812306179,2246.5822676232065,17.5,7.354166666666667,1005.5833333333334,-4.358333333333333,0.0,0.7458333333333332,2013-03-06,dingin
Huairou,167.625,195.375,65.79166666666667,86.58333333333333,2095.625,80.375,5.466666666666666,1004.475,-5.595833333333334,0.0,1.2375,2013-03-06,dingin
Nongzhanguan,195.33333333333334,213.75,111.94538508386773,145.21238218280868,2779.764591578554,30.458333333333332,8.0,1009.2958333333332,-5.379166666666666,0.0,0.775,2013-03-06,dingin
Shunyi,168.70833333333334,186.08333333333334,86.86626666666666,95.68660416666667,2219.505331549393,49.708333333333336,6.575,1009.9916666666667,-4.804166666666666,0.0,1.2,2013-03-06,dingin
Tiantan,193.70833333333334,206.33333333333334,92.97365062943106,123.88177689891705,2995.3876382422845,75.33333333333333,8.0,1009.2958333333332,-5.379166666666666,0.0,0.775,2013-03-06,dingin
Wanliu,229.54166666666666,276.875,104.29166666666667,130.41666666666666,3328.7083333333335,16.291666666666668,7.183333333333334,1007.4833333333332,-4.216666666666667,0.0,1.4833333333333334,2013-03-06,dingin
Wanshouxigong,207.875,232.66666666666666,108.75,125.41666666666667,3153.7916666666665,60.041666666666664,7.879166666666666,1006.6791666666667,-4.583333333333333,0.0,0.8291666666666666,2013-03-06,dingin
Aotizhongxin,263.375,316.0833333333333,97.54166666666667,147.75,3632.875,38.833333333333336,9.2875,1002.3208333333333,-2.0333333333333337,0.0,1.5583333333333333,2013-03-07,dingin
Changping,200.66666666666666,223.95833333333334,81.95833333333333,129.25,3257.9166666666665,41.0,9.2375,999.2291666666666,-3.8958333333333335,0.0,1.0083333333333333,2013-03-07,dingin
Dingling,141.41666666666666,152.875,46.2812354022252,94.48272778143166,1720.8706697022872,60.333333333333336,9.2375,999.2291666666666,-3.8958333333333335,0.0,1.0083333333333333,2013-03-07,dingin
Dongsi,274.4166666666667,306.625,92.95833333333333,174.0,4249.666666666667,53.541666666666664,9.258333333333333,1004.1083333333332,-2.5458333333333334,0.0,1.1708333333333334,2013-03-07,dingin
Guanyuan,248.0,280.125,98.70833333333333,161.375,3949.6666666666665,46.666666666666664,9.2875,1002.3208333333333,-2.0333333333333337,0.0,1.5583333333333333,2013-03-07,dingin
Gucheng,243.75,308.5833333333333,83.16666666666667,146.86425624612357,4607.833333333333,55.625,9.729166666666666,1000.3041666666667,-2.2125,0.0,1.0041666666666667,2013-03-07,dingin
Huairou,206.41666666666666,229.29022418603745,64.0,121.66666666666667,2466.375,63.583333333333336,7.629166666666666,999.4,-3.9916666666666667,0.0,1.3333333333333333,2013-03-07,dingin
Nongzhanguan,270.375,294.5833333333333,102.95833333333333,167.08333333333334,4158.0,47.583333333333336,9.258333333333333,1004.1083333333332,-2.5458333333333334,0.0,1.1708333333333334,2013-03-07,dingin
Shunyi,283.0,301.625,88.79166666666667,120.125,3524.875,52.208333333333336,8.379166666666666,1004.8583333333332,-1.9166666666666667,0.0,1.1458333333333333,2013-03-07,dingin
Tiantan,257.5,278.2916666666667,72.66666666666667,134.08333333333334,4416.291666666667,55.291666666666664,9.258333333333333,1004.1083333333332,-2.5458333333333334,0.0,1.1708333333333334,2013-03-07,dingin
Wanliu,238.0,318.3333333333333,79.95833333333333,133.58333333333334,4733.0,25.208333333333332,9.2875,1002.3208333333333,-2.0333333333333337,0.0,1.5583333333333333,2013-03-07,dingin
Wanshouxigong,265.3333333333333,304.7083333333333,93.5,138.25,4420.416666666667,38.375,9.520833333333334,1001.4,-1.9458333333333335,0.0,1.1500000000000001,2013-03-07,dingin
Aotizhongxin,221.45833333333334,297.9583333333333,66.43022922538994,116.35553054943547,2471.5787621164786,79.33333333333333,9.612499999999999,999.475,-1.1500000000000001,0.0,1.6375,2013-03-08,dingin
Changping,182.375,239.70833333333334,58.4752,90.50114166666667,2489.3875560226174,82.20833333333333,12.0375,996.1541666666667,-2.8708333333333336,0.0,2.1041666666666665,2013-03-08,dingin
Dingling,146.16666666666666,217.0,33.27923333333333,56.753883333333334,1416.787336368954,87.58333333333333,12.0375,996.1541666666667,-2.8708333333333336,0.0,2.1041666666666665,2013-03-08,dingin
Dongsi,189.33333333333334,232.45833333333334,61.46293333333333,151.76415,3121.794547128168,104.54166666666667,9.6625,1001.3291666666668,-2.5,0.0,1.6791666666666665,2013-03-08,dingin
Guanyuan,209.95833333333334,249.5,63.98093333333333,139.7534,3040.2205990513644,106.0,9.612499999999999,999.475,-1.1500000000000001,0.0,1.6375,2013-03-08,dingin
Gucheng,201.5,267.3333333333333,60.54623333333333,141.17612083333333,2946.707267623207,106.66666666666667,10.612499999999999,997.4499999999999,-1.6500000000000001,0.0,1.2458333333333333,2013-03-08,dingin
Huairou,194.875,232.25,58.55776666666667,88.81046250000001,2250.523106038087,85.79166666666667,8.816666666666666,996.5166666666668,-2.7541666666666664,0.0,2.316666666666667,2013-03-08,dingin
Nongzhanguan,217.79166666666666,239.41666666666666,69.3975,129.95508333333333,2996.722924911887,99.33333333333333,9.6625,1001.3291666666668,-2.5,0.0,1.6791666666666665,2013-03-08,dingin
Shunyi,226.0,246.375,69.43193333333333,90.27712083333334,2657.0469982160594,95.66666666666667,8.983333333333333,1002.0500000000001,-1.7208333333333332,0.0,2.316666666666667,2013-03-08,dingin
Tiantan,184.2706138947858,211.1969727081943,48.37393459219545,106.12456629783411,3111.9545813935215,102.45833333333333,9.6625,1001.3291666666668,-2.5,0.0,1.6791666666666665,2013-03-08,dingin
Wanliu,210.625,273.7083333333333,60.67653333333333,121.02794583333333,4255.612792714222,64.45833333333333,9.612499999999999,999.475,-1.1500000000000001,0.0,1.6375,2013-03-08,dingin
Wanshouxigong,223.41666666666666,257.9166666666667,63.40283333333334,119.87095,3402.8497929438013,91.33333333333333,10.25,998.5416666666666,-1.7416666666666665,0.0,1.675,2013-03-08,dingin
Aotizhongxin,62.041666666666664,206.87751630466428,33.333333333333336,45.0,1178.9583333333333,73.91666666666667,6.983333333333333,1004.3916666666668,-10.1625,0.0,3.391666666666667,2013-03-09,dingin
Changping,58.25,200.20833333333334,28.25,32.375,937.4166666666666,102.25,7.1125,1001.6666666666666,-11.379166666666668,0.0,3.2916666666666665,2013-03-09,dingin
Dingling,59.833333333333336,223.66666666666666,12.958333333333334,31.626066710513353,662.4166666666666,100.95833333333333,7.1125,1001.6666666666666,-11.379166666666668,0.0,3.2916666666666665,2013-03-09,dingin
Dongsi,58.916666666666664,198.0556975795157,31.397129441973586,56.73747678343742,1263.5028804615015,97.08333333333333,7.233333333333333,1006.1291666666666,-12.100000000000001,0.0,4.0,2013-03-09,dingin
Guanyuan,51.75,189.75194191809828,36.708333333333336,49.833333333333336,1024.8333333333333,96.91666666666667,6.983333333333333,1004.3916666666668,-10.1625,0.0,3.391666666666667,2013-03-09,dingin
Gucheng,59.333333333333336,232.19683154090862,20.223590067617753,42.494628123061794,975.9989342898731,102.125,7.625,1002.3166666666666,-11.041666666666666,0.0,2.2666666666666666,2013-03-09,dingin
Huairou,52.125,142.75,28.838398042092084,33.395718758912984,813.439772704754,102.5,6.195833333333333,1001.3000000000001,-11.9,0.0,3.970833333333333,2013-03-09,dingin
Nongzhanguan,56.375,218.125,39.625,51.25,1404.0833333333333,93.41666666666667,7.233333333333333,1006.1291666666666,-12.100000000000001,0.0,4.0,2013-03-09,dingin
Shunyi,88.87080100143481,137.16017981998687,26.30985428907052,52.28396839965578,1438.7429884043868,78.375,6.791666666666667,1006.7666666666668,-10.845833333333333,0.0,4.583333333333333,2013-03-09,dingin
Tiantan,60.333333333333336,202.14015302076382,26.625,41.625,1387.2916666666667,88.91666666666667,7.233333333333333,1006.1291666666666,-12.100000000000001,0.0,4.0,2013-03-09,dingin
Wanliu,66.0,193.89141053287332,25.4917200237757,45.57453288607303,1280.6961260475562,61.708333333333336,6.983333333333333,1004.3916666666668,-10.1625,0.0,3.391666666666667,2013-03-09,dingin
Wanshouxigong,57.25,234.79166666666666,30.42285846295489,40.81373167237443,1190.3081262771345,83.91666666666667,7.375,1003.3874999999999,-10.779166666666667,0.0,3.125,2013-03-09,dingin
Aotizhongxin,34.291666666666664,68.91666666666667,22.916666666666668,49.666666666666664,708.3333333333334,82.66666666666667,5.2625,1020.4916666666667,-12.85,0.0,2.441666666666667,2013-03-10,dingin
Changping,30.25,50.125,20.75,34.291666666666664,627.1792226892844,97.29166666666667,7.291666666666667,1017.0166666666668,-16.716666666666665,0.0,2.345833333333333,2013-03-10,dingin
Dingling,25.791666666666668,44.18664361001317,11.25,15.5,379.1666666666667,94.0,7.291666666666667,1017.0166666666668,-16.716666666666665,0.0,2.345833333333333,2013-03-10,dingin
Dongsi,36.333333333333336,66.45833333333333,19.25,53.208333333333336,930.3778804615014,95.125,5.7875000000000005,1022.5041666666666,-15.108333333333334,0.0,2.3333333333333335,2013-03-10,dingin
Guanyuan,34.083333333333336,59.375,23.041666666666668,51.708333333333336,769.637265718031,90.29166666666667,5.2625,1020.4916666666667,-12.85,0.0,2.441666666666667,2013-03-10,dingin
Gucheng,41.583333333333336,75.54166666666667,20.041666666666668,46.875,799.9583333333334,98.625,6.425,1018.5833333333334,-14.695833333333333,0.0,1.9791666666666667,2013-03-10,dingin
Huairou,43.625,68.91666666666667,32.25,46.583333333333336,762.5,90.54166666666667,3.733333333333333,1017.3249999999999,-14.141666666666666,0.0,1.7416666666666665,2013-03-10,dingin
Nongzhanguan,35.875,50.375,20.583333333333332,55.083333333333336,784.3479249118869,94.375,5.7875000000000005,1022.5041666666666,-15.108333333333334,0.0,2.3333333333333335,2013-03-10,dingin
Shunyi,62.8093507510761,81.65138486499015,21.905016119797835,49.83702697409419,982.1099910802976,49.083333333333336,5.054166666666666,1023.1125000000001,-13.233333333333334,0.0,2.15,2013-03-10,dingin
Tiantan,38.291666666666664,66.5,20.666666666666668,44.791666666666664,849.8459715756184,89.75,5.7875000000000005,1022.5041666666666,-15.108333333333334,0.0,2.3333333333333335,2013-03-10,dingin
Wanliu,38.083333333333336,71.45833333333333,18.958333333333332,61.166666666666664,816.625,67.45833333333333,5.2625,1020.4916666666667,-12.85,0.0,2.441666666666667,2013-03-10,dingin
Wanshouxigong,35.083333333333336,48.166666666666664,23.333333333333332,44.333333333333336,875.0,82.41666666666667,5.291666666666667,1019.8458333333333,-14.075000000000001,0.0,2.1708333333333334,2013-03-10,dingin
Aotizhongxin,123.79166666666667,178.29166666666666,86.875,90.66666666666667,1670.75,75.25,5.5375000000000005,1013.6625,-6.620833333333334,0.0,1.5666666666666667,2013-03-11,dingin
Changping,123.95833333333333,163.79166666666666,79.125,84.83333333333333,1716.4166666666667,88.58333333333333,5.3625,1010.5083333333333,-8.420833333333333,0.0,1.2583333333333333,2013-03-11,dingin
Dingling,117.70833333333333,150.16666666666666,61.958333333333336,68.08333333333333,1258.5330060712413,90.66666666666667,5.3625,1010.5083333333333,-8.420833333333333,0.0,1.2583333333333333,2013-03-11,dingin
Dongsi,111.625,149.79166666666666,75.125,83.125,1280.169547128168,86.66666666666667,7.183333333333334,1015.5833333333334,-7.6499999999999995,0.0,1.5208333333333333,2013-03-11,dingin
Guanyuan,119.33333333333333,162.95833333333334,106.83333333333333,91.83333333333333,1699.75,85.16666666666667,5.5375000000000005,1013.6625,-6.620833333333334,0.0,1.5666666666666667,2013-03-11,dingin
Gucheng,138.0,197.125,96.0,106.16666666666667,2203.75,91.54166666666667,5.783333333333334,1011.6458333333334,-7.25,0.0,0.9833333333333334,2013-03-11,dingin
Huairou,119.54166666666667,141.875,73.0,72.375,1295.6666666666667,70.95833333333333,4.879166666666666,1010.8125,-8.554166666666665,0.0,1.3958333333333333,2013-03-11,dingin
Nongzhanguan,113.04166666666667,134.04166666666666,86.33333333333333,87.0,1337.3333333333333,87.04166666666667,7.183333333333334,1015.5833333333334,-7.6499999999999995,0.0,1.5208333333333333,2013-03-11,dingin
Shunyi,124.91666666666667,157.125,86.83333333333333,74.45833333333333,1603.875,64.91666666666667,6.483333333333333,1016.375,-6.841666666666666,0.0,1.5999999999999999,2013-03-11,dingin
Tiantan,122.04166666666667,143.83333333333334,82.58333333333333,73.33333333333333,1449.875,88.08333333333333,7.183333333333334,1015.5833333333334,-7.6499999999999995,0.0,1.5208333333333333,2013-03-11,dingin
Wanliu,139.95833333333334,197.91666666666666,79.875,89.91666666666667,2254.7647296904447,56.416666666666664,5.5375000000000005,1013.6625,-6.620833333333334,0.0,1.5666666666666667,2013-03-11,dingin
Wanshouxigong,120.20833333333333,144.375,97.75,74.375,1624.7916666666667,74.54166666666667,5.75,1012.8000000000001,-7.254166666666666,0.0,1.1833333333333333,2013-03-11,dingin
Aotizhongxin,122.79166666666667,117.16666666666667,27.5,72.875,1619.2060477249058,36.583333333333336,4.6000000000000005,1008.8083333333334,1.3499999999999999,0.12083333333333333,1.0833333333333333,2013-03-12,dingin
Changping,137.83333333333334,143.54166666666666,42.458333333333336,80.91666666666667,1816.375,35.875,5.1875,1005.9083333333333,-0.6583333333333333,0.08750000000000001,1.2083333333333333,2013-03-12,dingin
Dingling,138.08333333333334,136.79166666666666,27.333333333333332,70.58333333333333,1545.5,43.041666666666664,5.1875,1005.9083333333333,-0.6583333333333333,0.08750000000000001,1.2083333333333333,2013-03-12,dingin
Dongsi,126.75,125.83333333333333,28.416666666666668,88.875,1408.0833333333333,45.75,5.104166666666667,1010.7958333333332,1.1208333333333333,0.22083333333333333,1.1791666666666667,2013-03-12,dingin
Guanyuan,117.70833333333333,114.375,36.166666666666664,86.75,1858.2083333333333,39.5,4.6000000000000005,1008.8083333333334,1.3499999999999999,0.12083333333333333,1.0833333333333333,2013-03-12,dingin
Gucheng,137.08333333333334,139.91666666666666,27.375,101.75,2053.9166666666665,39.666666666666664,5.183333333333333,1006.9083333333333,0.42083333333333334,0.13749999999999998,0.9833333333333334,2013-03-12,dingin
Huairou,106.54166666666667,104.66666666666667,29.833333333333332,81.75,1208.1666666666667,41.875,4.9375,1005.8583333333332,-0.7083333333333334,0.05833333333333333,1.6291666666666667,2013-03-12,dingin
Nongzhanguan,127.83333333333333,120.125,38.541666666666664,90.79166666666667,1999.7083333333333,50.166666666666664,5.104166666666667,1010.7958333333332,1.1208333333333333,0.22083333333333333,1.1791666666666667,2013-03-12,dingin
Shunyi,115.875,113.70833333333333,27.916666666666668,65.0,1533.2916666666667,43.666666666666664,4.733333333333333,1011.4708333333333,0.75,0.11666666666666665,1.3208333333333333,2013-03-12,dingin
Tiantan,126.95833333333333,120.25,26.416666666666668,69.29166666666667,2028.7916666666667,47.416666666666664,5.104166666666667,1010.7958333333332,1.1208333333333333,0.22083333333333333,1.1791666666666667,2013-03-12,dingin
Wanliu,134.375,148.45833333333334,24.349020023775697,83.18823243881273,2094.683918761779,21.0,4.6000000000000005,1008.8083333333334,1.3499999999999999,0.12083333333333333,1.0833333333333333,2013-03-12,dingin
Wanshouxigong,123.70833333333333,100.58333333333333,31.041666666666668,72.91666666666667,1820.5833333333333,33.416666666666664,5.1625000000000005,1007.9416666666666,0.8874999999999998,0.27499999999999997,1.0791666666666666,2013-03-12,dingin
Aotizhongxin,16.041666666666668,19.333333333333332,16.25,36.083333333333336,504.1666666666667,71.875,4.929166666666666,1022.475,-10.049999999999999,0.0,2.3291666666666666,2013-03-13,dingin
